Artist.N,Love.N,Minister.N,Theory.N,Mentor.N,Comedian.N,Criminal.N,Friend.N,Argument.N,Boyfriend.N,Welder.N,Firefighter.N,Diamond.N,Raccoon.N,Orange.N,Zebra.N,Chicken.N,Lion.N,Gold.N,Bluebird.N,Sheep.N,Squirrel.N,Rustling.N,Cousin.N,Cashier.N,Obituary.N,Uncle.N,Stroller.N,Catalog.N,Chair.N,Man.N,Woman.N,Artist.C,Love.C,Minister.C,Theory.C,Mentor.C,Comedian.C,Criminal.C,Friend.C,Argument.C,Boyfriend.C,Welder.C,Firefighter.C,Diamond.C,Raccoon.C,Orange.C,Zebra.C,Chicken.C,Lion.C,Gold.C,Bluebird.C,Sheep.C,Squirrel.C,Rustling.C,Cousin.C,Cashier.C,Orbituary.C,Uncle.C,Stroller.C,Catalog.C,Chair.C,Man.C,Woman.C,Gender,Age,NativeEng,Political,Filter,Group
1,1,1,3,2,2,4,5,5,2,3,2,7,7,7,5,6,7,7,7,7,7,1,3,1,2,5,1,7,6,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,36,1,1,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,7,5,3,5,7,6,6,6,6,7,1,4,1,7,1,6,5,1,2,1,7,7,7,6,7,6,4,7,7,7,1,42,1,2,1,1
1,1,3,1,1,6,1,2,4,4,5,6,7,7,7,6,7,1,7,5,1,3,6,5,1,2,1,2,4,3,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,60,1,1,1,2
1,2,3,5,7,7,2,2,2,3,7,6,7,3,2,2,4,2,6,2,6,1,2,3,2,7,2,3,7,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,28,2,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,6,6,1,1,7,4,7,1,7,7,7,1,7,7,1,7,1,7,7,1,7,7,7,1,7,7,1,1,1,6,2,32,2,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,2,7,6,6,7,4,7,7,6,7,7,1,7,1,7,7,7,7,6,7,6,7,7,7,2,7,7,7,7,2,30,2,1,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,6,6,2,2,5,2,5,7,6,7,1,3,2,6,1,5,5,3,3,2,7,7,7,5,7,7,1,7,7,7,1,36,1,2,1,1
2,6,3,2,3,1,4,5,3,2,5,1,7,7,7,5,7,4,7,7,1,7,1,1,1,2,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,24,1,2,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,6,4,2,4,6,6,4,5,6,6,6,4,4,6,3,5,6,4,5,4,5,5,6,5,7,6,5,5,4,6,2,42,1,2,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,1,1,7,7,4,1,7,3,7,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,2,54,1,2,1,1
