Dominant,Emotionally Cold,Abusive,Dishonest,Promiscuous,Messy,Aggressive,Calculating,Rude,Vulgar,Disrespectful,Intimidating,Impatient,Easygoing,Traveling,Swimming,Smiling,Music,Reading,Movie,Environment,Curious,Kind,Abuse Spouse,Abuse Children,Cheating on Spouse,Not Wanting Children,Cursing and Swearing,Spendthrift on Cosmetics and Clothing,Wanting To Be Boss,Unresponsive To Children,Initiating Fights,Not Cleaning House,Not Caring about Appearance,Not Caring about Mannerism,Not Taking Action When Significant Others Threatened,Gender,Age,NativeEng,Group
,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,7,7,7,1,1,7,1,7,4,1,1,1,5,1,23,1,2
,,,,,,,,,,,,,1,1,1,1,1,1,2,1,1,1,7,7,7,1,1,1,1,1,5,1,1,3,2,1,22,1,2
1,3,5,4,1,1,3,1,4,4,4,3,5,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,20,1,1
3,3,5,3,2,3,4,2,3,2,3,1,4,2,2,1,1,1,1,1,1,3,1,,,,,,,,,,,,,,1,31,1,1
7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,2,28,2,1
,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,4,7,7,4,1,4,4,7,4,6,5,4,5,1,48,1,2
4,5,7,5,5,2,3,4,6,6,6,6,2,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,59,1,1
2,1,2,1,1,2,3,1,1,3,1,2,2,1,1,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,1,37,1,1
3,3,4,3,4,3,2,4,4,2,2,3,2,5,5,3,4,3,5,6,5,4,6,,,,,,,,,,,,,,2,25,2,1
,,,,,,,,,,,,,3,6,5,4,2,3,5,3,5,5,4,6,6,3,4,3,4,3,6,5,4,5,3,2,27,2,2
,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,7,7,7,1,5,7,1,7,5,4,5,5,5,1,49,1,2
3,6,6,5,3,3,4,2,4,3,6,5,5,3,2,4,5,2,2,2,2,3,3,,,,,,,,,,,,,,1,23,1,1
3,4,6,3,4,5,5,2,5,6,4,1,4,1,1,1,1,1,1,1,1,2,1,,,,,,,,,,,,,,1,25,1,1
1,1,6,1,1,1,1,1,3,2,1,4,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,25,1,1
,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,7,7,7,1,6,5,4,7,7,7,7,7,7,2,38,1,2
,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,7,7,7,1,3,7,4,7,5,3,2,2,1,1,32,1,2
4,2,7,6,2,3,7,1,6,2,6,5,3,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,2,22,1,1
4,4,4,4,4,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,2,49,1,1
2,2,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,1,35,1,1
,,,,,,,,,,,,,1,1,1,1,1,1,1,1,2,1,7,7,7,1,3,6,4,7,6,5,4,4,5,2,69,1,2
,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,7,7,7,2,7,3,2,7,6,3,5,5,3,2,55,1,2
,,,,,,,,,,,,,2,3,3,3,3,3,3,3,4,3,4,5,7,4,5,4,3,4,5,5,4,4,5,2,31,1,2
,,,,,,,,,,,,,2,1,1,1,1,1,1,1,1,1,7,7,7,4,7,7,7,7,7,7,1,7,7,2,52,1,2
,,,,,,,,,,,,,7,1,1,1,1,1,1,4,1,5,7,7,7,1,3,6,3,7,7,4,2,2,5,2,34,1,2
,,,,,,,,,,,,,6,4,3,5,6,4,4,3,3,3,5,3,5,5,4,5,6,4,4,5,6,4,4,2,34,1,2
6,6,6,5,6,4,4,5,6,6,6,5,3,1,1,1,2,1,1,1,1,2,2,,,,,,,,,,,,,,2,44,2,1
,,,,,,,,,,,,,7,1,1,1,1,1,1,1,1,1,7,7,7,5,6,6,3,7,4,6,5,7,5,1,28,1,2
